"BOOKING ID","BOOKING DATE","ORIGIN","BOOKED OFFICE","DESTINATION","DIRECTION","AIRPORTS","GATEWAYS","TRIP TYPE","ITINERARY TYPE","VALIDATING CARRIER","MARKETING CARRIERS","OPERATING CARRIERS","DEPARTURE DATE","ARRIVAL DATE","BOOKING CLASS","FARE BASIS","ADT","CHD"
"100629971","2018/5/4","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/12/30","2018/12/30 20:25:00","T","TLNCRTUS","170","0"
"100715711","2018/5/4","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2019/1/2","2019/1/2 20:25:00","Q","QLNCRTUS","240","0"
"100821691","2018/5/5","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/3","2018/6/3 20:50:00","L","LLNCRTUS","155","0"
"100830781","2018/5/5","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/6","2018/6/6 20:50:00","T","TLNCRTUS","170","0"
"100895161","2018/5/6","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2019/1/20","2019/1/20 20:25:00","T","TLNCRTUS","170","0"
"101042361","2018/5/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/27","2018/6/27 20:50:00","Z","ZLNCRTUS","385","0"
"101045741","2018/5/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/3","2018/6/3 20:50:00","L","LLNCRTUS","155","0"
"101045801","2018/5/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/5/30","2018/5/30 20:50:00","T","TLNCRTUS","170","0"
"101053251","2018/5/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/1","2018/6/1 20:50:00","Q","QLNCRTUS","240","0"
"101057691","2018/5/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/27","2018/6/27 20:50:00","Z","ZLNCRTUS","385","0"
"101061391","2018/5/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/27","2018/6/27 20:50:00","Z","ZLNCRTUS","385","0"
"101184341","2018/5/8","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/5/27","2018/5/27 20:50:00","T","TLNCRTUS","85","0"
"101266811","2018/5/8","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/3","2018/6/3 20:50:00","H","HLNCRTUS","210","0"
"101374321","2018/5/9","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/10","2018/6/10 20:50:00","T","TLNCRTUS","85","0"
"101439151","2018/5/10","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/6/13","2018/6/13 20:50:00","T","TLNCRTUS","85","0"
"101824292","2018/5/13","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/13","2018/6/13 20:50:00","T","TLNCRTUS","170","0"
